match;date;result;Home_team;Away_team
Bologna-Crotone;21/08/2016;1-0;Bologna;Crotone
Genoa-AC Milan;25/10/2016;3-0;Genoa;AC Milan
AS Roma-Sampdoria;11/09/2016;03-feb;AS Roma;Sampdoria
Sampdoria-Empoli;15/01/2017;0-0;Sampdoria;Empoli
Sassuolo-Pescara;28/08/2016;0-3 AWA.;Sassuolo;Pescara
Lazio-Sassuolo;30/10/2016;02-gen;Lazio;Sassuolo
Inter-Genoa;11/12/2016;2-0;Inter;Genoa
Udinese-Inter;08/01/2017;01-feb;Udinese;Inter
Inter-Palermo;28/08/2016;01-gen;Inter;Palermo
Inter-Juventus;18/09/2016;02-gen;Inter;Juventus
AC Milan-Chievo;04/03/2017;03-gen;AC Milan;Chievo
Sassuolo-Torino;08/01/2017;0-0;Sassuolo;Torino
Napoli-Lazio;05/11/2016;01-gen;Napoli;Lazio
Atalanta-Udinese;11/12/2016;01-mar;Atalanta;Udinese
Empoli-Inter;21/09/2016;0-2;Empoli;Inter
Juventus-Palermo;17/02/2017;04-gen;Juventus;Palermo
Juventus-Empoli;25/02/2017;2-0;Juventus;Empoli
Empoli-Cagliari;17/12/2016;2-0;Empoli;Cagliari
Sassuolo-Bologna;12/03/2017;0-1;Sassuolo;Bologna
Palermo-Cagliari;02/04/2017;01-mar;Palermo;Cagliari
Sampdoria-Bologna;12/02/2017;03-gen;Sampdoria;Bologna
Pescara-Cagliari;04/12/2016;01-gen;Pescara;Cagliari
Napoli-Sampdoria;07/01/2017;02-gen;Napoli;Sampdoria
Empoli-AS Roma;30/10/2016;0-0;Empoli;AS Roma
Napoli-Juventus;02/04/2017;01-gen;Napoli;Juventus
Sampdoria-AS Roma;29/01/2017;03-feb;Sampdoria;AS Roma
Udinese-Fiorentina;21/09/2016;02-feb;Udinese;Fiorentina
Cagliari-Pescara;30/04/2017;1-0;Cagliari;Pescara
Atalanta-Palermo;21/09/2016;0-1;Atalanta;Palermo
Bologna-Cagliari;11/09/2016;02-gen;Bologna;Cagliari
AS Roma-AC Milan;12/12/2016;1-0;AS Roma;AC Milan
Lazio-Cagliari;26/10/2016;04-gen;Lazio;Cagliari
Cagliari-Udinese;27/11/2016;02-gen;Cagliari;Udinese
Palermo-Sassuolo;21/08/2016;0-1;Palermo;Sassuolo
Juventus-Napoli;29/10/2016;02-gen;Juventus;Napoli
Torino-Udinese;02/04/2017;02-feb;Torino;Udinese
AC Milan-Inter;20/11/2016;02-feb;AC Milan;Inter
Torino-Crotone;15/04/2017;01-gen;Torino;Crotone
Crotone-Cagliari;26/02/2017;01-feb;Crotone;Cagliari
Cagliari-Sassuolo;22/12/2016;04-mar;Cagliari;Sassuolo
Napoli-Genoa;10/02/2017;2-0;Napoli;Genoa
Sampdoria-AC Milan;16/09/2016;0-1;Sampdoria;AC Milan
Palermo-AS Roma;12/03/2017;0-3;Palermo;AS Roma
Fiorentina-Genoa;29/01/2017;03-mar;Fiorentina;Genoa
AC Milan-AS Roma;07/05/2017;01-apr;AC Milan;AS Roma
Bologna-Genoa;02/10/2016;0-1;Bologna;Genoa
Empoli-Sampdoria;21/08/2016;0-1;Empoli;Sampdoria
Bologna-AC Milan;08/02/2017;0-1;Bologna;AC Milan
AS Roma-Udinese;20/08/2016;4-0;AS Roma;Udinese
Genoa-Juventus;27/11/2016;03-gen;Genoa;Juventus
Atalanta-Juventus;28/04/2017;02-feb;Atalanta;Juventus
Sampdoria-Inter;30/10/2016;1-0;Sampdoria;Inter
AC Milan-Napoli;21/01/2017;01-feb;AC Milan;Napoli
Crotone-Sassuolo;05/03/2017;0-0;Crotone;Sassuolo
Sampdoria-Napoli;28/05/2017;02-apr;Sampdoria;Napoli
Empoli-Crotone;12/09/2016;02-gen;Empoli;Crotone
Sassuolo-AS Roma;26/10/2016;01-mar;Sassuolo;AS Roma
Lazio-AS Roma;04/12/2016;0-2;Lazio;AS Roma
Empoli-Atalanta;21/05/2017;0-1;Empoli;Atalanta
Fiorentina-Torino;27/02/2017;02-feb;Fiorentina;Torino
AS Roma-Napoli;04/03/2017;01-feb;AS Roma;Napoli
Bologna-Fiorentina;29/10/2016;0-1;Bologna;Fiorentina
Pescara-AC Milan;02/04/2017;01-gen;Pescara;AC Milan
Napoli-Udinese;15/04/2017;3-0;Napoli;Udinese
Napoli-Empoli;26/10/2016;2-0;Napoli;Empoli
Chievo-Torino;23/04/2017;01-mar;Chievo;Torino
AC Milan-Lazio;20/09/2016;2-0;AC Milan;Lazio
Sassuolo-Empoli;04/12/2016;3-0;Sassuolo;Empoli
Fiorentina-Empoli;15/04/2017;01-feb;Fiorentina;Empoli
Bologna-Atalanta;27/11/2016;0-2;Bologna;Atalanta
Genoa-Crotone;22/01/2017;02-feb;Genoa;Crotone
Lazio-Torino;13/03/2017;03-gen;Lazio;Torino
Atalanta-Torino;11/09/2016;02-gen;Atalanta;Torino
Palermo-Lazio;27/11/2016;0-1;Palermo;Lazio
Empoli-Torino;05/02/2017;01-gen;Empoli;Torino
AC Milan-Bologna;21/05/2017;3-0;AC Milan;Bologna
Pescara-AS Roma;24/04/2017;01-apr;Pescara;AS Roma
Bologna-Lazio;05/03/2017;0-2;Bologna;Lazio
Udinese-Sassuolo;19/02/2017;01-feb;Udinese;Sassuolo
Sampdoria-Pescara;04/03/2017;03-gen;Sampdoria;Pescara
Inter-Sassuolo;14/05/2017;01-feb;Inter;Sassuolo
Crotone-AS Roma;12/02/2017;0-2;Crotone;AS Roma
Lazio-Fiorentina;18/12/2016;03-gen;Lazio;Fiorentina
Pescara-Inter;11/09/2016;01-feb;Pescara;Inter
Sassuolo-Genoa;18/09/2016;2-0;Sassuolo;Genoa
Fiorentina-Chievo;28/08/2016;1-0;Fiorentina;Chievo
Cagliari-Torino;09/04/2017;02-mar;Cagliari;Torino
Inter-Udinese;28/05/2017;05-feb;Inter;Udinese
Genoa-Bologna;26/02/2017;01-gen;Genoa;Bologna
Empoli-AC Milan;26/11/2016;01-apr;Empoli;AC Milan
AC Milan-Palermo;09/04/2017;4-0;AC Milan;Palermo
Atalanta-Genoa;30/10/2016;3-0;Atalanta;Genoa
Cagliari-Sampdoria;26/09/2016;02-gen;Cagliari;Sampdoria
Crotone-Juventus;08/02/2017;0-2;Crotone;Juventus
Crotone-Bologna;14/01/2017;0-1;Crotone;Bologna
Pescara-Lazio;05/02/2017;02-giu;Pescara;Lazio
Crotone-Torino;20/11/2016;0-2;Crotone;Torino
Chievo-Pescara;26/02/2017;2-0;Chievo;Pescara
AS Roma-Torino;19/02/2017;04-gen;AS Roma;Torino
Palermo-AC Milan;06/11/2016;01-feb;Palermo;AC Milan
Chievo-Atalanta;08/01/2017;01-apr;Chievo;Atalanta
Sassuolo-Cagliari;21/05/2017;06-feb;Sassuolo;Cagliari
Lazio-Napoli;09/04/2017;0-3;Lazio;Napoli
Palermo-Torino;17/10/2016;01-apr;Palermo;Torino
Pescara-Palermo;22/05/2017;2-0;Pescara;Palermo
Juventus-Bologna;08/01/2017;3-0;Juventus;Bologna
Crotone-Lazio;28/05/2017;03-gen;Crotone;Lazio
Torino-Empoli;18/09/2016;0-0;Torino;Empoli
AC Milan-Pescara;30/10/2016;1-0;AC Milan;Pescara
Inter-Bologna;25/09/2016;01-gen;Inter;Bologna
AS Roma-Cagliari;22/01/2017;1-0;AS Roma;Cagliari
