match;date;result;Home_team;Away_team
Verona-Bologna;20/11/2017;02-mar;Verona;Bologna
Napoli-Sassuolo;29/10/2017;03-gen;Napoli;Sassuolo
Torino-AC Milan;18/04/2018;01-gen;Torino;AC Milan
Udinese-Atalanta;29/10/2017;02-gen;Udinese;Atalanta
Sampdoria-Sassuolo;17/12/2017;0-1;Sampdoria;Sassuolo
Fiorentina-Bologna;16/09/2017;02-gen;Fiorentina;Bologna
Atalanta-Inter;14/04/2018;0-0;Atalanta;Inter
Lazio-Crotone;23/12/2017;4-0;Lazio;Crotone
Chievo-Lazio;27/08/2017;01-feb;Chievo;Lazio
Torino-Inter;08/04/2018;1-0;Torino;Inter
Genoa-Torino;20/05/2018;01-feb;Genoa;Torino
Genoa-Benevento;23/12/2017;1-0;Genoa;Benevento
Cagliari-Atalanta;20/05/2018;1-0;Cagliari;Atalanta
Napoli-AC Milan;18/11/2017;02-gen;Napoli;AC Milan
Cagliari-Verona;05/11/2017;02-gen;Cagliari;Verona
Chievo-Benevento;20/05/2018;1-0;Chievo;Benevento
Chievo-Napoli;05/11/2017;0-0;Chievo;Napoli
Torino-Crotone;04/04/2018;04-gen;Torino;Crotone
Juventus-Sampdoria;15/04/2018;3-0;Juventus;Sampdoria
Cagliari-Inter;25/11/2017;01-mar;Cagliari;Inter
Bologna-Sampdoria;25/11/2017;3-0;Bologna;Sampdoria
Benevento-Lazio;29/10/2017;01-mag;Benevento;Lazio
Benevento-Chievo;30/12/2017;1-0;Benevento;Chievo
AC Milan-Spal;20/09/2017;2-0;AC Milan;Spal
Benevento-Sassuolo;19/11/2017;01-feb;Benevento;Sassuolo
Atalanta-Juventus;01/10/2017;02-feb;Atalanta;Juventus
Sassuolo-Juventus;17/09/2017;01-mar;Sassuolo;Juventus
Genoa-Cagliari;03/04/2018;02-gen;Genoa;Cagliari
Napoli-Spal;18/02/2018;1-0;Napoli;Spal
Sampdoria-Torino;03/02/2018;01-gen;Sampdoria;Torino
Udinese-Verona;23/12/2017;4-0;Udinese;Verona
Udinese-Genoa;10/09/2017;1-0;Udinese;Genoa
Napoli-Inter;21/10/2017;0-0;Napoli;Inter
Crotone-AS Roma;18/03/2018;0-2;Crotone;AS Roma
Juventus-Sassuolo;04/02/2018;7-0;Juventus;Sassuolo
Juventus-Benevento;05/11/2017;02-gen;Juventus;Benevento
Atalanta-Lazio;17/12/2017;03-mar;Atalanta;Lazio
Crotone-Cagliari;28/01/2018;01-gen;Crotone;Cagliari
Atalanta-AS Roma;20/08/2017;0-1;Atalanta;AS Roma
Crotone-Benevento;24/09/2017;2-0;Crotone;Benevento
Napoli-Genoa;18/03/2018;1-0;Napoli;Genoa
AS Roma-Udinese;23/09/2017;03-gen;AS Roma;Udinese
Lazio-Atalanta;06/05/2018;01-gen;Lazio;Atalanta
Napoli-AS Roma;03/03/2018;02-apr;Napoli;AS Roma
Spal-Fiorentina;19/11/2017;01-gen;Spal;Fiorentina
Udinese-Lazio;08/04/2018;01-feb;Udinese;Lazio
Spal-Verona;10/12/2017;02-feb;Spal;Verona
Bologna-Udinese;30/12/2017;01-feb;Bologna;Udinese
Genoa-AS Roma;26/11/2017;01-gen;Genoa;AS Roma
Napoli-Sampdoria;23/12/2017;03-feb;Napoli;Sampdoria
Inter-AC Milan;15/10/2017;03-feb;Inter;AC Milan
Crotone-Sampdoria;11/03/2018;04-gen;Crotone;Sampdoria
Juventus-AC Milan;31/03/2018;03-gen;Juventus;AC Milan
Torino-Juventus;18/02/2018;0-1;Torino;Juventus
Spal-Benevento;06/05/2018;2-0;Spal;Benevento
Crotone-Sassuolo;29/04/2018;04-gen;Crotone;Sassuolo
Fiorentina-Benevento;11/03/2018;1-0;Fiorentina;Benevento
Fiorentina-Cagliari;13/05/2018;0-1;Fiorentina;Cagliari
Chievo-AS Roma;10/12/2017;0-0;Chievo;AS Roma
Fiorentina-Udinese;15/10/2017;02-gen;Fiorentina;Udinese
Lazio-Juventus;03/03/2018;0-1;Lazio;Juventus
Benevento-Juventus;07/04/2018;02-apr;Benevento;Juventus
Spal-Napoli;23/09/2017;02-mar;Spal;Napoli
Sassuolo-Sampdoria;06/05/2018;1-0;Sassuolo;Sampdoria
Juventus-Torino;23/09/2017;4-0;Juventus;Torino
Inter-AS Roma;21/01/2018;01-gen;Inter;AS Roma
Spal-Inter;28/01/2018;01-gen;Spal;Inter
Fiorentina-Lazio;18/04/2018;03-apr;Fiorentina;Lazio
Sampdoria-Udinese;25/02/2018;02-gen;Sampdoria;Udinese
AS Roma-Juventus;13/05/2018;0-0;AS Roma;Juventus
Lazio-AC Milan;10/09/2017;04-gen;Lazio;AC Milan
Fiorentina-Crotone;31/03/2018;2-0;Fiorentina;Crotone
Juventus-Spal;25/10/2017;04-gen;Juventus;Spal
Verona-Torino;25/02/2018;02-gen;Verona;Torino
Napoli-Juventus;01/12/2017;0-1;Napoli;Juventus
Udinese-Sampdoria;30/09/2017;4-0;Udinese;Sampdoria
Atalanta-Crotone;20/09/2017;05-gen;Atalanta;Crotone
