match;date;result;Home_team;Away_team
Verona-Frosinone;17/04/2016;01-feb;Verona;Frosinone
Napoli-Bologna;19/04/2016;6-0;Napoli;Bologna
Palermo-Genoa;23/08/2015;1-0;Palermo;Genoa
Inter-Empoli;07/05/2016;02-gen;Inter;Empoli
Chievo-AC Milan;13/03/2016;0-0;Chievo;AC Milan
Juventus-Sassuolo;11/03/2016;1-0;Juventus;Sassuolo
Atalanta-Fiorentina;21/02/2016;02-mar;Atalanta;Fiorentina
Empoli-Verona;20/04/2016;1-0;Empoli;Verona
AC Milan-Inter;31/01/2016;3-0;AC Milan;Inter
Udinese-Genoa;04/10/2015;01-gen;Udinese;Genoa
Bologna-Torino;16/04/2016;0-1;Bologna;Torino
Verona-Napoli;22/11/2015;0-2;Verona;Napoli
Torino-Lazio;06/03/2016;01-gen;Torino;Lazio
Palermo-Empoli;02/11/2015;0-1;Palermo;Empoli
Sampdoria-Empoli;29/10/2015;01-gen;Sampdoria;Empoli
AC Milan-Sassuolo;25/10/2015;02-gen;AC Milan;Sassuolo
Sampdoria-Frosinone;28/02/2016;2-0;Sampdoria;Frosinone
Carpi-Torino;03/10/2015;02-gen;Carpi;Torino
AS Roma-Bologna;11/04/2016;01-gen;AS Roma;Bologna
Fiorentina-Torino;24/01/2016;2-0;Fiorentina;Torino
Inter-Chievo;03/02/2016;1-0;Inter;Chievo
Carpi-Chievo;22/11/2015;01-feb;Carpi;Chievo
Palermo-Bologna;28/02/2016;0-0;Palermo;Bologna
Lazio-Torino;25/10/2015;3-0;Lazio;Torino
Fiorentina-Genoa;12/09/2015;1-0;Fiorentina;Genoa
Carpi-Sampdoria;17/01/2016;02-gen;Carpi;Sampdoria
Frosinone-Sampdoria;18/10/2015;2-0;Frosinone;Sampdoria
Inter-Bologna;12/03/2016;02-gen;Inter;Bologna
Genoa-Fiorentina;31/01/2016;0-0;Genoa;Fiorentina
AC Milan-Verona;13/12/2015;01-gen;AC Milan;Verona
Empoli-Napoli;13/09/2015;02-feb;Empoli;Napoli
Frosinone-Sassuolo;08/05/2016;0-1;Frosinone;Sassuolo
Sassuolo-Verona;01/05/2016;1-0;Sassuolo;Verona
Juventus-Napoli;13/02/2016;1-0;Juventus;Napoli
Fiorentina-Bologna;23/09/2015;2-0;Fiorentina;Bologna
Frosinone-Napoli;10/01/2016;01-mag;Frosinone;Napoli
Verona-Genoa;24/01/2016;01-gen;Verona;Genoa
AC Milan-Torino;27/02/2016;1-0;AC Milan;Torino
Sassuolo-Frosinone;06/01/2016;02-feb;Sassuolo;Frosinone
Atalanta-Torino;22/11/2015;0-1;Atalanta;Torino
Chievo-Sassuolo;13/02/2016;01-gen;Chievo;Sassuolo
Sassuolo-Udinese;20/03/2016;01-gen;Sassuolo;Udinese
Chievo-Palermo;03/04/2016;03-gen;Chievo;Palermo
Lazio-Fiorentina;15/05/2016;02-apr;Lazio;Fiorentina
Carpi-Sassuolo;02/04/2016;01-mar;Carpi;Sassuolo
Fiorentina-Lazio;09/01/2016;01-mar;Fiorentina;Lazio
Juventus-Genoa;03/02/2016;1-0;Juventus;Genoa
Bologna-Carpi;06/03/2016;0-0;Bologna;Carpi
Palermo-Sampdoria;01/05/2016;2-0;Palermo;Sampdoria
AC Milan-Chievo;28/10/2015;1-0;AC Milan;Chievo
Juventus-Carpi;01/05/2016;2-0;Juventus;Carpi
Bologna-Inter;27/10/2015;0-1;Bologna;Inter
Sampdoria-Verona;25/10/2015;04-gen;Sampdoria;Verona
Carpi-Genoa;16/04/2016;04-gen;Carpi;Genoa
Bologna-Sassuolo;29/08/2015;0-1;Bologna;Sassuolo
Atalanta-Inter;16/01/2016;01-gen;Atalanta;Inter
Sampdoria-Carpi;23/08/2015;05-feb;Sampdoria;Carpi
Juventus-Lazio;20/04/2016;3-0;Juventus;Lazio
Empoli-Lazio;29/11/2015;1-0;Empoli;Lazio
Napoli-Sampdoria;30/08/2015;02-feb;Napoli;Sampdoria
Atalanta-Bologna;20/03/2016;2-0;Atalanta;Bologna
Torino-Napoli;08/05/2016;01-feb;Torino;Napoli
Atalanta-Genoa;10/01/2016;0-2;Atalanta;Genoa
Napoli-Sassuolo;16/01/2016;03-gen;Napoli;Sassuolo
Bologna-Chievo;10/01/2016;0-1;Bologna;Chievo
Napoli-AC Milan;22/02/2016;01-gen;Napoli;AC Milan
Bologna-Fiorentina;06/02/2016;01-gen;Bologna;Fiorentina
Frosinone-Atalanta;23/01/2016;0-0;Frosinone;Atalanta
Torino-Palermo;27/09/2015;02-gen;Torino;Palermo
Udinese-Lazio;31/01/2016;0-0;Udinese;Lazio
Palermo-Napoli;13/03/2016;0-1;Palermo;Napoli
Chievo-Udinese;29/11/2015;02-mar;Chievo;Udinese
Genoa-Inter;20/04/2016;1-0;Genoa;Inter
Atalanta-Napoli;20/12/2015;01-mar;Atalanta;Napoli
Chievo-Bologna;15/05/2016;0-0;Chievo;Bologna
Napoli-Inter;30/11/2015;02-gen;Napoli;Inter
Juventus-AS Roma;24/01/2016;1-0;Juventus;AS Roma
Chievo-Juventus;31/01/2016;0-4;Chievo;Juventus
Sampdoria-Inter;04/10/2015;01-gen;Sampdoria;Inter
Genoa-Chievo;18/10/2015;03-feb;Genoa;Chievo
Verona-Palermo;10/01/2016;0-1;Verona;Palermo
Sampdoria-Torino;03/02/2016;02-feb;Sampdoria;Torino
Bologna-Juventus;19/02/2016;0-0;Bologna;Juventus
Atalanta-Empoli;07/02/2016;0-0;Atalanta;Empoli
Verona-Bologna;07/11/2015;0-2;Verona;Bologna
