web-scraper-order;web-scraper-start-url;match;match-href;Bookmakers: 20;Bookmakers: 20;Home;Draw;Away;Home_team;Away_team
1572704953-37179;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Palermo-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/palermo-lazio/Gfw4V0vc/;null;null;2.75;3.30;2.40;Palermo;Lazio
1572705737-42308;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Atalanta-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/atalanta-sassuolo/ljx0waV4/;;;1.92;3.50;4.25;Atalanta;Sassuolo
1572704837-36385;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Empoli-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/empoli-as-roma/r9L5efcQ/;null;null;5.00;3.75;1.65;Empoli;AS Roma
1572705700-42083;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Atalanta-Torino;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/atalanta-torino/rDXCvlAs/;;;2.85;3.10;2.65;Atalanta;Torino
1572705037-37731;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Juventus-Palermo;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/juventus-palermo/xpvepOkI/;null;null;1.21;5.90;13.00;Juventus;Palermo
1572705481-40727;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Palermo-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/palermo-napoli/lfCmbKls/;;;3.94;3.72;2.01;Palermo;Napoli
1572705254-39221;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Empoli-Torino;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/empoli-torino/QL2vmuOk/;null;null;2.60;3.20;2.70;Empoli;Torino
1572705191-38791;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;AS Roma-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/as-roma-inter/n9AeWess/;null;null;1.75;3.60;4.90;AS Roma;Inter
1572705525-40997;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Empoli-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/empoli-chievo/fc28gd3C/;;;2.00;3.17;4.18;Empoli;Chievo
1572704840-36406;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Sampdoria-Torino;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/sampdoria-torino/dCouAgCJ/;null;null;2.50;3.10;2.95;Sampdoria;Torino
1572705197-38821;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Sampdoria-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/sampdoria-napoli/Qa9aVFdm/;null;null;3.40;3.20;2.20;Sampdoria;Napoli
1572705164-38595;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;AC Milan-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/ac-milan-inter/fcjrPvzE/;null;null;2.85;3.25;2.50;AC Milan;Inter
1572705109-38213;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Sassuolo-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/sassuolo-atalanta/nZgn5Jrr/;null;null;2.03;3.26;3.69;Sassuolo;Atalanta
1572705906-43379;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Cesena-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/cesena-sassuolo/bcgyP2Bm/;;;2.44;3.35;3.00;Cesena;Sassuolo
1572705366-39958;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Lazio-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/lazio-napoli/p02YRe8o/;null;null;2.65;3.30;2.75;Lazio;Napoli
1572705215-38958;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Inter-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/inter-udinese/lzMmcPoc/;null;null;1.53;3.80;6.50;Inter;Udinese
1572705659-41829;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Lazio-Verona;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/lazio-verona/bTNJ9TA7/;;;1.32;5.06;8.70;Lazio;Verona
1572705814-42798;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Udinese-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/udinese-inter/vFNsJzqc/;;;3.55;3.30;2.18;Udinese;Inter
1572705458-40569;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Inter-Palermo;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/inter-palermo/2ZBZj3sE/;;;1.69;3.72;4.76;Inter;Palermo
1572705607-41528;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Cagliari-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/cagliari-empoli/UZjUbCdk/;;;2.38;3.40;2.90;Cagliari;Empoli
1572705082-38032;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Napoli-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/napoli-as-roma/WpMtlR7j/;null;null;2.15;3.25;3.40;Napoli;AS Roma
1572705938-43590;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Napoli-Cesena;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/napoli-cesena/6NdqNtt0/;;;1.16;7.80;16.00;Napoli;Cesena
1572705440-40460;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;AC Milan-Parma;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/ac-milan-parma/6ef3lALF/;null;null;1.61;3.80;5.90;AC Milan;Parma
1572705285-39430;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Fiorentina-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/fiorentina-empoli/GAHMaI7e/;;;1.49;4.11;7.21;Fiorentina;Empoli
1572705485-40735;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Udinese-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/udinese-lazio/80UK20tQ/;;;3.50;3.30;2.36;Udinese;Lazio
1572705329-39725;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Verona-Parma;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/verona-parma/fHbseFwO/;null;null;2.55;3.32;3.06;Verona;Parma
1572705744-42352;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Genoa-Parma;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/genoa-parma/MsR4NzIh/;;;1.65;3.75;5.75;Genoa;Parma
1572704932-37024;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Torino-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/torino-fiorentina/2BuGSbOF/;null;null;2.71;2.99;2.89;Torino;Fiorentina
1572705903-43364;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Chievo-Verona;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/chievo-verona/OUqN71tD/;;;2.50;3.20;3.00;Chievo;Verona
1572705807-42755;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Fiorentina-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/fiorentina-cagliari/EcaokdUG/;;;1.46;4.75;6.85;Fiorentina;Cagliari
1572705197-38830;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Sampdoria-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/sampdoria-napoli/Qa9aVFdm/;null;null;3.30;3.30;2.20;Sampdoria;Napoli
1572705393-40149;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Sampdoria-Palermo;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/sampdoria-palermo/KIGGvZii/;null;null;2.05;3.49;4.07;Sampdoria;Palermo
1572705554-41174;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Inter-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/inter-fiorentina/Ey4w7FXB/;;;2.16;3.22;3.37;Inter;Fiorentina
1572705137-38412;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;AS Roma-Torino;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/as-roma-torino/Gj3GAuLK/;;;1.53;4.00;6.50;AS Roma;Torino
1572705896-43329;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Lazio-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/lazio-inter/xYmR6LeJ/;;;1.80;3.70;4.33;Lazio;Inter
