web-scraper-order;web-scraper-start-url;match;match-href;Bookmakers: 22;Bookie;Home;Draw;Away;date;Home_team;Away_team
1572688870-1755;https://www.betexplorer.com/soccer/italy/serie-a/results/;Verona-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a/verona-sassuolo/zHFXObR1/;;;2.30;3.25;3.25;null;Verona;Sassuolo
1572688855-1663;https://www.betexplorer.com/soccer/italy/serie-a/results/;Parma-Genoa;https://www.betexplorer.com/soccer/italy/serie-a/parma-genoa/vN7zmBDi/;;;2.55;3.30;2.75;null;Parma;Genoa
1572688715-852;https://www.betexplorer.com/soccer/italy/serie-a/results/;Lazio-Parma;https://www.betexplorer.com/soccer/italy/serie-a/lazio-parma/OvFDWzBK/;;;1.29;5.95;9.50;null;Lazio;Parma
1572688702-767;https://www.betexplorer.com/soccer/italy/serie-a/results/;AC Milan-Inter;https://www.betexplorer.com/soccer/italy/serie-a/ac-milan-inter/8CjpREYs/;;;3.70;3.25;2.17;null;AC Milan;Inter
1572688665-522;https://www.betexplorer.com/soccer/italy/serie-a/results/;Fiorentina-Juventus;https://www.betexplorer.com/soccer/italy/serie-a/fiorentina-juventus/KCD7fMt6/;;;4.55;3.50;1.83;null;Fiorentina;Juventus
1572688702-759;https://www.betexplorer.com/soccer/italy/serie-a/results/;AC Milan-Inter;https://www.betexplorer.com/soccer/italy/serie-a/ac-milan-inter/8CjpREYs/;;;3.60;3.35;2.14;null;AC Milan;Inter
1572688816-1420;https://www.betexplorer.com/soccer/italy/serie-a/results/;Inter-Juventus;https://www.betexplorer.com/soccer/italy/serie-a/inter-juventus/IwQ2jP2n/;;;2.75;3.05;2.80;null;Inter;Juventus
1572688784-1250;https://www.betexplorer.com/soccer/italy/serie-a/results/;Lazio-Genoa;https://www.betexplorer.com/soccer/italy/serie-a/lazio-genoa/KrY2L43C/;;;1.50;4.50;6.00;null;Lazio;Genoa
1572688896-1928;https://www.betexplorer.com/soccer/italy/serie-a/results/;Atalanta-Udinese;https://www.betexplorer.com/soccer/italy/serie-a/atalanta-udinese/82aiqTCG/;;;1.40;4.80;8.00;null;Atalanta;Udinese
1572688641-366;https://www.betexplorer.com/soccer/italy/serie-a/results/;Lecce-Verona;https://www.betexplorer.com/soccer/italy/serie-a/lecce-verona/pjqO2pZP/;;;2.00;3.50;3.80;null;Lecce;Verona
1572688765-1119;https://www.betexplorer.com/soccer/italy/serie-a/results/;Sassuolo-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a/sassuolo-atalanta/xK4TyQmg/;;;4.28;4.39;1.76;null;Sassuolo;Atalanta
1572688929-2138;https://www.betexplorer.com/soccer/italy/serie-a/results/;Cagliari-Bologna;https://www.betexplorer.com/soccer/italy/serie-a/cagliari-bologna/jmx3vvRl/;;;2.60;3.40;2.78;null;Cagliari;Bologna
1572688847-1625;https://www.betexplorer.com/soccer/italy/serie-a/results/;Sassuolo-Inter;https://www.betexplorer.com/soccer/italy/serie-a/sassuolo-inter/Cz6rokr4/;;;5.46;3.96;1.68;null;Sassuolo;Inter
1572688690-689;https://www.betexplorer.com/soccer/italy/serie-a/results/;Cagliari-Genoa;https://www.betexplorer.com/soccer/italy/serie-a/cagliari-genoa/xOG5Ydt8/;;;2.96;3.26;2.35;null;Cagliari;Genoa
1572688635-328;https://www.betexplorer.com/soccer/italy/serie-a/results/;Udinese-Parma;https://www.betexplorer.com/soccer/italy/serie-a/udinese-parma/bcPbdrCg/;;;1.97;3.45;3.95;null;Udinese;Parma
1572688777-1200;https://www.betexplorer.com/soccer/italy/serie-a/results/;Napoli-Brescia;https://www.betexplorer.com/soccer/italy/serie-a/napoli-brescia/UDFgrSAP/;;;1.22;6.75;13.50;null;Napoli;Brescia
