web-scraper-order;web-scraper-start-url;match;match-href;Bookmakers: 22;Bookie;Home;Draw;Away;Home_team;Away_team
1572692704-18639;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Sampdoria-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/sampdoria-napoli/0OMCFiu1/;;;5.90;4.55;1.50;Sampdoria;Napoli
1572691631-11704;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Inter-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/inter-genoa/EmY024BK/;;;1.36;5.25;10.00;Inter;Genoa
1572691706-12216;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Bologna-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/bologna-spal/r9uA6A8N/;;;2.04;3.28;4.44;Bologna;Spal
1572692574-17738;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Napoli-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/napoli-udinese/nopep9qa/;;;1.22;6.00;13.00;Napoli;Udinese
1572691781-12720;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;AC Milan-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/ac-milan-juventus/lpcTupaq/;null;null;4.23;3.63;1.96;AC Milan;Juventus
1572691859-13255;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Crotone-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/crotone-genoa/W0hnhEl6/;null;null;3.10;3.15;2.40;Crotone;Genoa
1572691964-13851;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Chievo-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/chievo-as-roma/ShVGe8Ce/;;;5.75;4.00;1.61;Chievo;AS Roma
1572692314-16070;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Verona-Torino;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/verona-torino/vcxj38Xm/;;;6.51;4.22;1.57;Verona;Torino
1572691585-11406;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Lazio-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/lazio-napoli/dh14cf8e/;;;3.30;3.50;2.15;Lazio;Napoli
1572692161-15170;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Chievo-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/chievo-juventus/IiR5JQMh/;;;11.00;4.70;1.33;Chievo;Juventus
