web-scraper-order;web-scraper-start-url;match;match-href;Bookmakers: 22;Bookie;Home;Draw;Away;Home_team;Away_team
1572690558-7602;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Chievo-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/chievo-genoa/YDAMFEJ1/;;;3.20;3.10;2.40;Chievo;Genoa
1572690004-4158;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Empoli-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/empoli-juventus/tCmt5KBJ/;;;11.00;5.50;1.29;Empoli;Juventus
1572690252-5705;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Udinese-Frosinone;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/udinese-frosinone/YRT7kfUM/;;;1.69;3.75;5.25;Udinese;Frosinone
1572690723-8709;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Sassuolo-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/sassuolo-chievo/p8STk7IS/;;;1.65;3.80;5.50;Sassuolo;Chievo
1572690558-7605;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Chievo-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/chievo-genoa/YDAMFEJ1/;;;3.20;3.00;2.45;Chievo;Genoa
1572690112-4782;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;AS Roma-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/as-roma-sampdoria/S643wEHo/;;;1.40;5.00;7.00;AS Roma;Sampdoria
1572690191-5304;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Lazio-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/lazio-sampdoria/8OULwxED/;;;1.42;4.90;7.50;Lazio;Sampdoria
1572690118-4818;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Udinese-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/udinese-as-roma/tfIeZMMR/;;;3.70;3.40;2.07;Udinese;AS Roma
1572689756-2638;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Torino-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/torino-spal/bD7cO5er/;;;1.67;3.60;5.50;Torino;Spal
1572690806-9199;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Lazio-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/lazio-chievo/hE7aBEp6/;null;null;1.19;7.00;17.00;Lazio;Chievo
