start;url;match;href;Bookmakers: 21;Bookie;Home;Draw;Away;Home_team;Away_team
1572704269-34275;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Atalanta-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/atalanta-bologna/djbqcvuJ/;null;null;2.15;3.10;4.00;Atalanta;Bologna
1572704345-34857;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Verona-Frosinone;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/verona-frosinone/joNKRkpA/;null;null;1.70;3.60;4.70;Verona;Frosinone
1572704269-34273;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Atalanta-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/atalanta-bologna/djbqcvuJ/;null;null;2.05;3.00;4.20;Atalanta;Bologna
1572704351-34901;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Sampdoria-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/sampdoria-ac-milan/xre8Io7d/;null;null;3.30;3.40;2.20;Sampdoria;AC Milan
1572704406-35245;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Inter-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/inter-udinese/fc4ljQSR/;null;null;1.45;4.50;7.00;Inter;Udinese
1572704104-33121;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Palermo-Torino;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/palermo-torino/vBTkUTmI/;;;3.55;3.20;2.20;Palermo;Torino
1572703568-29564;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Lazio-Torino;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/lazio-torino/6D7SPvwj/;null;null;2.00;3.40;4.40;Lazio;Torino
1572704294-34469;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Fiorentina-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/fiorentina-sampdoria/Q5M6EuAg/;null;null;1.67;3.65;5.60;Fiorentina;Sampdoria
1572704248-34115;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;AS Roma-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/as-roma-inter/voMh7O2Q/;null;null;1.85;3.40;4.40;AS Roma;Inter
1572703969-32250;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Juventus-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/juventus-as-roma/0UTuaohG/;;;1.55;3.80;7.50;Juventus;AS Roma
