match;date;result;Home_team;Away_team
Inter-Genoa;11/01/2015;03-gen;Inter;Genoa
AC Milan-Lazio;31/08/2014;03-gen;AC Milan;Lazio
Palermo-AS Roma;17/01/2015;01-gen;Palermo;AS Roma
Napoli-Juventus;11/01/2015;01-mar;Napoli;Juventus
Inter-Cagliari;28/09/2014;01-apr;Inter;Cagliari
Sassuolo-Palermo;02/05/2015;0-0;Sassuolo;Palermo
Cesena-Udinese;01/03/2015;1-0;Cesena;Udinese
AS Roma-Cesena;29/10/2014;2-0;AS Roma;Cesena
Parma-Empoli;23/11/2014;0-2;Parma;Empoli
Palermo-AC Milan;04/04/2015;01-feb;Palermo;AC Milan
AS Roma-Sassuolo;06/12/2014;02-feb;AS Roma;Sassuolo
Empoli-Parma;19/04/2015;02-feb;Empoli;Parma
Verona-Napoli;15/03/2015;2-0;Verona;Napoli
Fiorentina-Inter;05/10/2014;3-0;Fiorentina;Inter
Napoli-Cesena;18/05/2015;03-feb;Napoli;Cesena
Cesena-Sassuolo;10/05/2015;02-mar;Cesena;Sassuolo
Cesena-Genoa;30/11/2014;0-3;Cesena;Genoa
AS Roma-Atalanta;19/04/2015;01-gen;AS Roma;Atalanta
Sassuolo-Fiorentina;14/02/2015;01-mar;Sassuolo;Fiorentina
AS Roma-AC Milan;20/12/2014;0-0;AS Roma;AC Milan
Chievo-Lazio;29/11/2014;0-0;Chievo;Lazio
Cagliari-Cesena;11/01/2015;02-gen;Cagliari;Cesena
Palermo-Juventus;14/03/2015;0-1;Palermo;Juventus
Cagliari-Palermo;17/05/2015;0-1;Cagliari;Palermo
Cesena-AS Roma;22/03/2015;0-1;Cesena;AS Roma
Udinese-Torino;08/03/2015;03-feb;Udinese;Torino
Lazio-Parma;29/04/2015;4-0;Lazio;Parma
Juventus-Sampdoria;14/12/2014;01-gen;Juventus;Sampdoria
Sampdoria-Juventus;02/05/2015;0-1;Sampdoria;Juventus
Parma-AC Milan;14/09/2014;04-mag;Parma;AC Milan
Juventus-Cesena;24/09/2014;3-0;Juventus;Cesena
Torino-Cesena;31/05/2015;5-0;Torino;Cesena
Cesena-Empoli;20/09/2014;02-feb;Cesena;Empoli
Inter-AS Roma;25/04/2015;02-gen;Inter;AS Roma
Napoli-Parma;18/12/2014;2-0;Napoli;Parma
Torino-Udinese;19/10/2014;1-0;Torino;Udinese
AC Milan-Parma;01/02/2015;03-gen;AC Milan;Parma
Sampdoria-Verona;29/04/2015;01-gen;Sampdoria;Verona
Napoli-Genoa;26/01/2015;02-gen;Napoli;Genoa
AS Roma-Palermo;31/05/2015;01-feb;AS Roma;Palermo
Sampdoria-Inter;22/03/2015;1-0;Sampdoria;Inter
Udinese-AS Roma;06/01/2015;0-1;Udinese;AS Roma
Inter-Sampdoria;29/10/2014;1-0;Inter;Sampdoria
Atalanta-Lazio;03/05/2015;01-gen;Atalanta;Lazio
Sampdoria-Lazio;16/05/2015;0-1;Sampdoria;Lazio
AC Milan-Napoli;14/12/2014;2-0;AC Milan;Napoli
Chievo-Genoa;26/10/2014;01-feb;Chievo;Genoa
Parma-Cesena;25/01/2015;01-feb;Parma;Cesena
Cesena-Atalanta;29/04/2015;02-feb;Cesena;Atalanta
Atalanta-Napoli;29/10/2014;01-gen;Atalanta;Napoli
Palermo-Atalanta;10/05/2015;02-mar;Palermo;Atalanta
Chievo-AS Roma;08/03/2015;0-0;Chievo;AS Roma
Atalanta-Chievo;11/01/2015;01-gen;Atalanta;Chievo
Torino-Atalanta;02/11/2014;0-0;Torino;Atalanta
Cagliari-Parma;04/05/2015;4-0;Cagliari;Parma
Juventus-Atalanta;20/02/2015;02-gen;Juventus;Atalanta
Sassuolo-Parma;15/03/2015;04-gen;Sassuolo;Parma
Sampdoria-Parma;31/05/2015;02-feb;Sampdoria;Parma
Lazio-Cesena;14/09/2014;3-0;Lazio;Cesena
Lazio-Torino;26/10/2014;02-gen;Lazio;Torino
Empoli-Palermo;05/10/2014;3-0;Empoli;Palermo
Atalanta-Sampdoria;01/03/2015;01-feb;Atalanta;Sampdoria
Chievo-Inter;15/12/2014;0-2;Chievo;Inter
Napoli-AC Milan;03/05/2015;3-0;Napoli;AC Milan
Lazio-Napoli;18/01/2015;0-1;Lazio;Napoli
Cagliari-Udinese;31/05/2015;04-mar;Cagliari;Udinese
Parma-Napoli;10/05/2015;02-feb;Parma;Napoli
Torino-AC Milan;10/01/2015;01-gen;Torino;AC Milan
Napoli-Empoli;07/12/2014;02-feb;Napoli;Empoli
Inter-Palermo;08/02/2015;3-0;Inter;Palermo
Napoli-Udinese;08/02/2015;03-gen;Napoli;Udinese
Genoa-Sampdoria;28/09/2014;0-1;Genoa;Sampdoria
Sampdoria-AS Roma;25/10/2014;0-0;Sampdoria;AS Roma
Lazio-AC Milan;24/01/2015;03-gen;Lazio;AC Milan
Genoa-Sassuolo;18/01/2015;03-mar;Genoa;Sassuolo
AC Milan-Cagliari;21/03/2015;03-gen;AC Milan;Cagliari
Cagliari-Chievo;08/12/2014;0-2;Cagliari;Chievo
Lazio-Cagliari;03/11/2014;04-feb;Lazio;Cagliari
Inter-Atalanta;24/09/2014;2-0;Inter;Atalanta
Torino-Parma;29/10/2014;1-0;Torino;Parma
Empoli-Lazio;09/11/2014;02-gen;Empoli;Lazio
Cesena-Palermo;08/03/2015;0-0;Cesena;Palermo
Cesena-Napoli;06/01/2015;01-apr;Cesena;Napoli
Cesena-Fiorentina;14/12/2014;01-apr;Cesena;Fiorentina
Empoli-Verona;06/01/2015;0-0;Empoli;Verona
Sassuolo-Empoli;28/10/2014;03-gen;Sassuolo;Empoli
Genoa-Chievo;15/03/2015;0-2;Genoa;Chievo
Fiorentina-Napoli;09/11/2014;0-1;Fiorentina;Napoli
Parma-AS Roma;24/09/2014;01-feb;Parma;AS Roma
Chievo-Palermo;21/03/2015;1-0;Chievo;Palermo
Chievo-Verona;10/05/2015;02-feb;Chievo;Verona
Lazio-Verona;22/03/2015;2-0;Lazio;Verona
Udinese-Palermo;12/04/2015;01-mar;Udinese;Palermo
Juventus-Genoa;22/03/2015;1-0;Juventus;Genoa
AS Roma-Cagliari;21/09/2014;2-0;AS Roma;Cagliari
Empoli-Cesena;08/02/2015;2-0;Empoli;Cesena
Fiorentina-Cagliari;26/04/2015;01-mar;Fiorentina;Cagliari
Inter-Empoli;31/05/2015;04-mar;Inter;Empoli
Atalanta-Genoa;17/05/2015;01-apr;Atalanta;Genoa
Verona-Inter;11/04/2015;0-3;Verona;Inter
Sampdoria-Fiorentina;02/11/2014;03-gen;Sampdoria;Fiorentina
AC Milan-Torino;24/05/2015;3-0;AC Milan;Torino
Sampdoria-Cesena;18/04/2015;0-0;Sampdoria;Cesena
Genoa-Parma;15/04/2015;2-0;Genoa;Parma
Torino-Napoli;01/03/2015;1-0;Torino;Napoli
Atalanta-Torino;04/04/2015;01-feb;Atalanta;Torino
Verona-Lazio;30/10/2014;01-gen;Verona;Lazio
Fiorentina-Empoli;21/12/2014;01-gen;Fiorentina;Empoli
Cagliari-Juventus;18/12/2014;01-mar;Cagliari;Juventus
Verona-Juventus;30/05/2015;02-feb;Verona;Juventus
AC Milan-Sassuolo;06/01/2015;01-feb;AC Milan;Sassuolo
Sassuolo-Sampdoria;21/09/2014;0-0;Sassuolo;Sampdoria
Parma-Atalanta;08/03/2015;0-0;Parma;Atalanta
Chievo-Sassuolo;02/11/2014;0-0;Chievo;Sassuolo
Empoli-AC Milan;23/09/2014;02-feb;Empoli;AC Milan
Cesena-Torino;18/01/2015;02-mar;Cesena;Torino
Napoli-Chievo;14/09/2014;0-1;Napoli;Chievo
Napoli-Palermo;24/09/2014;03-mar;Napoli;Palermo
Napoli-Atalanta;22/03/2015;01-gen;Napoli;Atalanta
Empoli-Inter;17/01/2015;0-0;Empoli;Inter
Genoa-Fiorentina;31/01/2015;01-gen;Genoa;Fiorentina
Empoli-Fiorentina;10/05/2015;02-mar;Empoli;Fiorentina
Napoli-Cagliari;23/11/2014;03-mar;Napoli;Cagliari
Napoli-Sampdoria;26/04/2015;04-feb;Napoli;Sampdoria
Inter-AC Milan;19/04/2015;0-0;Inter;AC Milan
AS Roma-Udinese;17/05/2015;02-gen;AS Roma;Udinese
Torino-Empoli;06/05/2015;0-1;Torino;Empoli
Sampdoria-AC Milan;08/11/2014;02-feb;Sampdoria;AC Milan
AC Milan-Juventus;20/09/2014;0-1;AC Milan;Juventus
Palermo-Torino;29/04/2015;02-feb;Palermo;Torino
Lazio-Genoa;09/02/2015;0-1;Lazio;Genoa
Udinese-Cesena;05/10/2014;01-gen;Udinese;Cesena
Inter-Lazio;21/12/2014;02-feb;Inter;Lazio
Atalanta-Fiorentina;21/09/2014;0-1;Atalanta;Fiorentina
AS Roma-Empoli;31/01/2015;01-gen;AS Roma;Empoli
Udinese-Verona;14/12/2014;01-feb;Udinese;Verona
Juventus-Napoli;23/05/2015;03-gen;Juventus;Napoli
AC Milan-Chievo;04/10/2014;2-0;AC Milan;Chievo
Torino-Cagliari;15/02/2015;01-gen;Torino;Cagliari
Lazio-Inter;10/05/2015;01-feb;Lazio;Inter
Inter-Chievo;03/05/2015;0-0;Inter;Chievo
Palermo-Empoli;01/03/2015;0-0;Palermo;Empoli
Empoli-AS Roma;13/09/2014;0-1;Empoli;AS Roma
Parma-Fiorentina;06/01/2015;1-0;Parma;Fiorentina
Parma-Udinese;08/04/2015;1-0;Parma;Udinese
Napoli-AS Roma;01/11/2014;2-0;Napoli;AS Roma
Cagliari-Fiorentina;30/11/2014;0-4;Cagliari;Fiorentina
