"","match","mean_home_odd","mean_draw_odd","mean_away_odd","max_home_odd","max_draw_odd","max_away_odd","result","date","p1mean","p2mean","pxmean","p1max","p2max","pxmax","esito"
"516","Inter-Fiorentina",1.50130434782609,4.34347826086957,6.45652173913043,1.6,4.7,7.7,"3-0","20/08/2017",0.666087460179553,0.154882154882155,0.23023023023023,0.625,0.12987012987013,0.212765957446809,"1"
"517","Verona-Fiorentina",3.6795652173913,3.48565217391304,2.03478260869565,3.98,3.68,2.2,"0-5","10/09/2017",0.271771239513175,0.491452991452992,0.286890357989273,0.251256281407035,0.454545454545455,0.271739130434783,"2"
"518","Atalanta-Bologna",1.57652173913043,3.87695652173913,5.99695652173913,1.65,4.06,6.53,"1-0","22/10/2017",0.634307777164922,0.16675125063438,0.257934282830548,0.606060606060606,0.153139356814701,0.246305418719212,"1"
"519","Inter-Chievo",1.405,4.67318181818182,7.90181818181818,1.44,5,9.2,"5-0","03/12/2017",0.711743772241993,0.126553152323976,0.213986966248419,0.694444444444444,0.108695652173913,0.2,"1"
"520","AC Milan-Benevento",1.21391304347826,6.44260869565217,13.1052173913043,1.27,7.08,15.25,"0-1","21/04/2018",0.823782234957021,0.0763054873598304,0.155216628424889,0.78740157480315,0.0655737704918033,0.141242937853107,"2"
"521","Crotone-Sassuolo",2.27913043478261,3.14217391304348,3.37652173913043,2.38,3.4,3.6,"4-1","29/04/2018",0.438763830599008,0.296162760751996,0.31825100318251,0.420168067226891,0.277777777777778,0.294117647058824,"1"
"522","Atalanta-AS Roma",2.89086956521739,3.38086956521739,2.43826086956522,3.09,3.5,2.53,"0-1","20/08/2017",0.34591667919988,0.410128388017118,0.295781893004115,0.323624595469256,0.395256916996047,0.285714285714286,"2"
"523","Sampdoria-AC Milan",3.65608695652174,3.55304347826087,2.02173913043478,4.1,3.75,2.13,"2-0","24/09/2017",0.273516470448329,0.494623655913979,0.281448849730788,0.24390243902439,0.469483568075117,0.266666666666667,"1"
"524","Atalanta-Sassuolo",1.61652173913043,3.90434782608696,5.67521739130435,1.67,4.15,6.43,"2-1","10/09/2017",0.618612157073697,0.176204703899487,0.256124721603563,0.598802395209581,0.15552099533437,0.240963855421687,"1"
"525","Juventus-Lazio",1.56478260869565,4.07652173913043,5.99478260869565,1.62,4.4,6.75,"1-2","14/10/2017",0.639066407335372,0.166811720336525,0.245307167235495,0.617283950617284,0.148148148148148,0.227272727272727,"2"
