start;url;match;href;Bookmakers: 22;Bookmakers: 22;Home;Draw;Away;Home_team;Away_team
1572700850-20406;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Torino-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/torino-fiorentina/UDN3ZYdI/;;;2.40;3.20;3.10;Torino;Fiorentina
1572701704-25921;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Udinese-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/udinese-genoa/8jJEIDiq/;;;2.00;3.40;4.40;Udinese;Genoa
1572701344-23612;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Juventus-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/juventus-lazio/dbYzAUjL/;;;1.57;4.00;6.50;Juventus;Lazio
1572701708-25954;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sampdoria-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sampdoria-fiorentina/bydQzDDR/;;;3.40;3.30;2.20;Sampdoria;Fiorentina
1572701163-22446;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Crotone-Pescara;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/crotone-pescara/OOphFvoi/;;;3.05;3.30;2.62;Crotone;Pescara
1572701855-26896;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Lazio-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/lazio-sampdoria/4EEeDXXg/;;;1.31;6.25;10.38;Lazio;Sampdoria
1572701430-24128;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Atalanta-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/atalanta-cagliari/lACVremb/;;;1.38;4.80;8.25;Atalanta;Cagliari
1572701580-25111;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Bologna-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/bologna-lazio/4tLzOvgr/;;;5.25;4.04;1.74;Bologna;Lazio
1572700913-20821;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sampdoria-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sampdoria-genoa/QLhzetPe/;;;2.90;3.10;2.40;Sampdoria;Genoa
1572701775-26392;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sassuolo-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sassuolo-napoli/O21A1FHp/;;;8.00;4.90;1.38;Sassuolo;Napoli
1572701754-26240;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Fiorentina-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/fiorentina-empoli/jo50gIPN/;;;1.38;4.84;7.21;Fiorentina;Empoli
