start;url;match;href;Bookmakers: 22;Bookmakers: 22;Home;Draw;Away;Home_team;Away_team
1572701083-21920;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Atalanta-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/atalanta-as-roma/pGU3UeY4/;;;3.60;3.60;2.05;Atalanta;AS Roma
1572701181-22577;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Bologna-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/bologna-empoli/fN13CxV9/;;;2.20;3.20;3.50;Bologna;Empoli
1572701836-26782;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Napoli-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/napoli-cagliari/d8PLJZfQ/;;;1.12;9.50;20.00;Napoli;Cagliari
1572701680-25766;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Genoa-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/genoa-atalanta/rgDJvOZj/;;;3.80;3.50;2.00;Genoa;Atalanta
1572700805-20105;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AS Roma-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/as-roma-crotone/ChygCSyt/;null;null;1.16;8.00;18.00;AS Roma;Crotone
1572701387-23875;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Napoli-Palermo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/napoli-palermo/8dbAKK4t/;;;1.11;9.50;23.00;Napoli;Palermo
1572700847-20398;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Pescara-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/pescara-chievo/M7nsmhRH/;;;2.67;3.20;2.90;Pescara;Chievo
1572700998-21343;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Lazio-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/lazio-sassuolo/xzZOsC7S/;;;1.48;4.45;6.60;Lazio;Sassuolo
1572700685-19289;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Udinese-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/udinese-empoli/KjnVIqPT/;;;2.00;3.25;3.75;Udinese;Empoli
1572700979-21243;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Chievo-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/chievo-bologna/CU0NGNoF/;;;2.10;3.10;3.60;Chievo;Bologna
1572701474-24432;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Cagliari-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/cagliari-juventus/pjoDeYW3/;null;null;11.50;5.20;1.28;Cagliari;Juventus
1572700775-19883;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Cagliari-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/cagliari-atalanta/rubZUwmq/;;;2.40;3.30;3.00;Cagliari;Atalanta
1572701302-23336;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Udinese-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/udinese-as-roma/IgfbdBML/;;;4.20;3.40;1.80;Udinese;AS Roma
1572700850-20420;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Torino-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/torino-fiorentina/UDN3ZYdI/;;;2.50;3.20;3.10;Torino;Fiorentina
1572701661-25657;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AS Roma-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/as-roma-empoli/nNRmppCT/;;;1.18;7.50;17.00;AS Roma;Empoli
1572701333-23543;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AC Milan-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/ac-milan-napoli/Yuy43STl/;;;3.53;3.75;2.13;AC Milan;Napoli
1572701323-23471;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Cagliari-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/cagliari-genoa/OWffci7F/;;;2.85;3.25;2.45;Cagliari;Genoa
1572701843-26813;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Udinese-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/udinese-atalanta/W0GmFg3s/;;;3.38;3.40;2.32;Udinese;Atalanta
1572701946-27477;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Atalanta-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/atalanta-chievo/GEaXVxpj/;;;1.30;5.75;9.00;Atalanta;Chievo
1572701697-25883;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Empoli-Pescara;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/empoli-pescara/8n3DwFT8/;;;1.83;3.75;3.75;Empoli;Pescara
1572700737-19635;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AC Milan-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/ac-milan-udinese/r5NxPd22/;;;1.62;4.28;5.94;AC Milan;Udinese
1572701636-25486;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Empoli-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/empoli-napoli/OA3ely7m/;;;10.50;4.90;1.32;Empoli;Napoli
1572701437-24184;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AS Roma-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/as-roma-fiorentina/lOi4cf2i/;;;1.63;3.80;5.45;AS Roma;Fiorentina
1572701887-27104;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Palermo-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/palermo-genoa/0t84BB26/;;;3.90;3.00;2.16;Palermo;Genoa
1572701965-27611;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Fiorentina-Pescara;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/fiorentina-pescara/l0qij7V4/;;;1.19;7.50;13.00;Fiorentina;Pescara
1572701239-22950;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Torino-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/torino-genoa/AcAsslz1/;;;1.86;3.55;4.30;Torino;Genoa
1572701187-22617;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Fiorentina-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/fiorentina-sassuolo/dxq0DIF3/;;;1.57;4.00;6.00;Fiorentina;Sassuolo
1572701390-23898;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Fiorentina-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/fiorentina-genoa/Sxwy6Lkm/;;;1.73;4.00;4.75;Fiorentina;Genoa
1572701818-26656;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Empoli-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/empoli-sassuolo/IcjE0fll/;;;1.95;3.40;3.50;Empoli;Sassuolo
1572701711-25964;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Lazio-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/lazio-napoli/t01LygbL/;;;2.93;3.35;2.32;Lazio;Napoli
1572700924-20885;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Torino-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/torino-lazio/b7xfFAAA/;;;2.14;3.45;3.55;Torino;Lazio
1572700847-20382;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Pescara-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/pescara-chievo/M7nsmhRH/;;;2.57;3.06;2.82;Pescara;Chievo
1572701807-26581;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Palermo-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/palermo-fiorentina/tbbtLOZ2/;;;6.10;4.40;1.52;Palermo;Fiorentina
1572701083-21927;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Atalanta-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/atalanta-as-roma/pGU3UeY4/;;;3.80;3.50;2.00;Atalanta;AS Roma
1572701512-24671;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AC Milan-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/ac-milan-fiorentina/hroA2tpl/;null;null;2.10;3.35;3.55;AC Milan;Fiorentina
1572701523-24746;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sassuolo-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sassuolo-ac-milan/l6xrOZTL/;;;2.70;3.40;2.60;Sassuolo;AC Milan
1572701394-23919;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Crotone-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/crotone-empoli/4rYa0HJO/;;;2.43;3.10;3.15;Crotone;Empoli
1572701661-25658;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AS Roma-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/as-roma-empoli/nNRmppCT/;;;1.18;7.50;16.00;AS Roma;Empoli
1572701887-27096;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Palermo-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/palermo-genoa/0t84BB26/;;;3.80;3.20;2.05;Palermo;Genoa
1572701697-25881;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Empoli-Pescara;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/empoli-pescara/8n3DwFT8/;;;1.95;3.70;3.70;Empoli;Pescara
1572701566-25034;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Torino-Palermo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/torino-palermo/CCBeJG7D/;;;1.50;4.20;7.00;Torino;Palermo
1572701426-24126;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Chievo-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/chievo-udinese/SEj8dEHc/;;;2.75;3.10;2.90;Chievo;Udinese
1572700982-21263;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Palermo-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/palermo-udinese/hlMdVM08/;;;2.80;3.10;2.70;Palermo;Udinese
1572700847-20379;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Pescara-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/pescara-chievo/M7nsmhRH/;;;2.69;3.15;2.85;Pescara;Chievo
1572701866-26966;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Chievo-Palermo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/chievo-palermo/zgyDLeQD/;;;1.76;3.65;4.80;Chievo;Palermo
1572701683-25789;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Fiorentina-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/fiorentina-bologna/zmOqoQdN/;;;1.49;4.40;6.50;Fiorentina;Bologna
1572701295-23287;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Inter-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/inter-chievo/0ClYk9ak/;;;1.47;4.35;7.50;Inter;Chievo
1572701683-25784;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Fiorentina-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/fiorentina-bologna/zmOqoQdN/;;;1.50;4.15;6.30;Fiorentina;Bologna
1572701086-21937;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AC Milan-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/ac-milan-inter/GtQaVyJb/;;;2.85;3.10;2.65;AC Milan;Inter
1572701261-23094;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Napoli-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/napoli-sampdoria/2Bgpc0Qb/;;;1.22;5.75;10.50;Napoli;Sampdoria
1572700942-21011;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Atalanta-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/atalanta-inter/AopsICQi/;;;3.20;3.25;2.30;Atalanta;Inter
1572701718-26027;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Cagliari-Torino;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/cagliari-torino/292HxZrF/;;;3.00;3.66;2.33;Cagliari;Torino
1572701538-24839;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Genoa-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/genoa-bologna/zsNxRyp3/;;;1.95;3.10;3.90;Genoa;Bologna
1572700768-19830;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Fiorentina-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/fiorentina-as-roma/MVdwUc2k/;;;2.91;3.34;2.34;Fiorentina;AS Roma
1572700868-20521;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Atalanta-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/atalanta-napoli/xKpVkfsa/;;;5.25;3.80;1.67;Atalanta;Napoli
1572701277-23194;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Lazio-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/lazio-crotone/WpbldKu5/;;;1.29;5.50;12.00;Lazio;Crotone
1572701461-24337;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sampdoria-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sampdoria-bologna/OtpHfhnA/;;;1.95;3.30;4.00;Sampdoria;Bologna
1572701654-25595;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AS Roma-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/as-roma-sassuolo/Ead8oZj6/;;;1.23;6.25;11.00;AS Roma;Sassuolo
1572701859-26922;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Genoa-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/genoa-inter/QNFiEDIm/;;;4.00;3.75;1.83;Genoa;Inter
1572701661-25653;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AS Roma-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/as-roma-empoli/nNRmppCT/;;;1.22;6.00;13.00;AS Roma;Empoli
1572701566-25021;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Torino-Palermo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/torino-palermo/CCBeJG7D/;;;1.48;4.29;6.14;Torino;Palermo
1572701467-24385;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Inter-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/inter-empoli/vHxlco88/;null;null;1.30;5.50;12.00;Inter;Empoli
1572701485-24503;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Empoli-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/empoli-lazio/folHDR9n/;null;null;5.50;3.80;1.67;Empoli;Lazio
1572700746-19688;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Napoli-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/napoli-bologna/IcjnSyX1/;;;1.26;5.90;11.00;Napoli;Bologna
1572700740-19654;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Empoli-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/empoli-crotone/IRVj1gAe/;;;1.67;3.60;5.75;Empoli;Crotone
1572701976-27675;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AS Roma-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/as-roma-genoa/dAbyZ50U/;;;1.05;15.25;32.00;AS Roma;Genoa
1572701257-23080;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AS Roma-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/as-roma-chievo/4K9ot8k7/;;;1.36;5.00;8.50;AS Roma;Chievo
1572701626-25417;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AC Milan-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/ac-milan-genoa/OrsOklrh/;;;1.57;3.90;5.95;AC Milan;Genoa
1572700750-19721;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Lazio-Pescara;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/lazio-pescara/d64iw2u3/;;;1.55;4.10;6.50;Lazio;Pescara
1572701139-22290;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Pescara-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/pescara-cagliari/pCIMcIbJ/;;;2.30;3.50;3.30;Pescara;Cagliari
1572701052-21720;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AS Roma-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/as-roma-bologna/tOBHIbZh/;null;null;1.26;6.25;10.00;AS Roma;Bologna
1572701305-23356;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sassuolo-Palermo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sassuolo-palermo/8xhtlmU1/;;;1.72;3.59;4.78;Sassuolo;Palermo
1572700808-20136;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Palermo-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/palermo-juventus/Gl8bxyDa/;;;15.00;6.00;1.22;Palermo;Juventus
1572701828-26725;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Bologna-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/bologna-udinese/OMTeDCGd/;;;2.30;3.20;2.90;Bologna;Udinese
1572701358-23681;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Atalanta-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/atalanta-sampdoria/z5L2OT5E/;;;1.71;3.65;5.05;Atalanta;Sampdoria
1572701821-26691;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Crotone-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/crotone-ac-milan/EBdlJ24F/;;;4.30;3.75;1.81;Crotone;AC Milan
1572701045-21670;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Fiorentina-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/fiorentina-sampdoria/6VdsDf3U/;null;null;1.60;4.20;6.50;Fiorentina;Sampdoria
1572701939-27436;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Pescara-Palermo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/pescara-palermo/Od0TzSVH/;;;1.80;3.98;3.80;Pescara;Palermo
1572701430-24136;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Atalanta-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/atalanta-cagliari/lACVremb/;;;1.40;4.80;8.50;Atalanta;Cagliari
1572701461-24341;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sampdoria-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sampdoria-bologna/OtpHfhnA/;;;2.05;3.50;4.20;Sampdoria;Bologna
1572700958-21111;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Pescara-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/pescara-atalanta/rJv68age/;;;2.90;3.25;2.63;Pescara;Atalanta
1572700836-20315;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Crotone-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/crotone-atalanta/IgxUMeDC/;;;4.15;3.20;1.85;Crotone;Atalanta
1572701232-22908;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Atalanta-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/atalanta-empoli/IaiY3BsE/;;;1.49;4.12;6.40;Atalanta;Empoli
1572701086-21944;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AC Milan-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/ac-milan-inter/GtQaVyJb/;;;2.80;2.90;2.55;AC Milan;Inter
1572701580-25126;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Bologna-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/bologna-lazio/4tLzOvgr/;;;4.90;3.70;1.73;Bologna;Lazio
1572701580-25128;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Bologna-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/bologna-lazio/4tLzOvgr/;;;5.00;3.75;1.73;Bologna;Lazio
1572701295-23290;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Inter-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/inter-chievo/0ClYk9ak/;;;1.45;4.25;6.92;Inter;Chievo
1572701828-26735;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Bologna-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/bologna-udinese/OMTeDCGd/;;;2.45;3.41;3.13;Bologna;Udinese
1572701229-22881;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Chievo-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/chievo-sampdoria/8Ao0UAje/;;;2.29;3.15;3.40;Chievo;Sampdoria
1572700958-21110;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Pescara-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/pescara-atalanta/rJv68age/;;;2.90;3.20;2.60;Pescara;Atalanta
1572701825-26709;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Cagliari-Pescara;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/cagliari-pescara/GdQmFYop/;;;1.47;4.75;6.30;Cagliari;Pescara
1572700703-19391;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Fiorentina-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/fiorentina-chievo/z3MvwmAo/;;;1.70;3.76;6.30;Fiorentina;Chievo
1572701876-27028;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Atalanta-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/atalanta-ac-milan/SGRoOlnC/;;;2.05;3.50;3.75;Atalanta;AC Milan
1572701538-24841;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Genoa-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/genoa-bologna/zsNxRyp3/;;;1.97;3.25;4.00;Genoa;Bologna
1572701059-21762;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Juventus-Pescara;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/juventus-pescara/EeMKQDXT/;;;1.09;9.15;25.00;Juventus;Pescara
1572701444-24239;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Bologna-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/bologna-ac-milan/bHBIr1B5/;;;3.45;3.25;2.20;Bologna;AC Milan
1572700696-19351;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sampdoria-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sampdoria-atalanta/vuVXJP9N/;;;2.60;3.15;2.70;Sampdoria;Atalanta
1572701722-26042;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Bologna-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/bologna-as-roma/nsIIHX6k/;;;7.25;4.75;1.42;Bologna;AS Roma
1572700847-20390;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Pescara-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/pescara-chievo/M7nsmhRH/;;;2.70;3.10;2.80;Pescara;Chievo
1572700998-21355;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Lazio-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/lazio-sassuolo/xzZOsC7S/;;;1.50;4.33;6.50;Lazio;Sassuolo
1572701038-21620;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Inter-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/inter-crotone/fRyiXcln/;null;null;1.30;6.00;13.00;Inter;Crotone
1572701118-22160;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Napoli-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/napoli-sassuolo/bLo63MUs/;;;1.33;5.00;9.00;Napoli;Sassuolo
1572701506-24642;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Bologna-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/bologna-inter/McJ2f49O/;null;null;5.81;3.86;1.70;Bologna;Inter
1572701733-26115;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sassuolo-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sassuolo-sampdoria/dnYMAJfb/;;;2.25;3.35;3.25;Sassuolo;Sampdoria
1572701309-23377;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sampdoria-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sampdoria-empoli/ptdjbXi9/;;;1.72;3.55;5.25;Sampdoria;Empoli
1572701277-23183;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Lazio-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/lazio-crotone/WpbldKu5/;;;1.30;5.50;13.00;Lazio;Crotone
1572701594-25203;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sassuolo-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sassuolo-bologna/0dWYWZyD/;;;1.98;3.54;4.44;Sassuolo;Bologna
1572701676-25742;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Napoli-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/napoli-juventus/pbVWmSC4/;;;2.75;3.20;2.85;Napoli;Juventus
1572701972-27654;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Cagliari-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/cagliari-ac-milan/bBjvg9on/;;;3.30;3.90;2.00;Cagliari;AC Milan
1572701758-26274;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Cagliari-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/cagliari-chievo/p844hxuU/;;;2.10;3.30;3.60;Cagliari;Chievo
1572701448-24263;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Napoli-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/napoli-genoa/bLa1ZsG1/;;;1.29;6.00;11.00;Napoli;Genoa
